period,value,value-units
2020-09-15,289078,megawatthours
2020-09-14,288554,megawatthours
2020-09-13,267035,megawatthours
2020-09-12,282968,megawatthours
2020-09-11,283815,megawatthours
2020-09-10,287912,megawatthours
2020-09-09,306763,megawatthours
2020-09-08,331847,megawatthours
2020-09-07,370124,megawatthours
2020-09-06,353163,megawatthours
2020-09-05,330465,megawatthours
2020-09-04,309196,megawatthours
2020-09-03,300139,megawatthours
2020-09-02,301013,megawatthours
2020-09-01,306713,megawatthours
2020-08-31,313422,megawatthours
2020-08-30,288873,megawatthours
2020-08-29,302743,megawatthours
2020-08-28,318410,megawatthours
2020-08-27,314948,megawatthours
2020-08-26,329888,megawatthours
2020-08-25,345040,megawatthours
2020-08-24,354490,megawatthours
2020-08-23,317596,megawatthours
2020-08-22,336186,megawatthours
2020-08-21,344265,megawatthours
2020-08-20,344182,megawatthours
2020-08-19,384358,megawatthours
2020-08-18,404702,megawatthours
2020-08-17,394537,megawatthours
2020-08-16,377351,megawatthours
2020-08-15,380771,megawatthours
2020-08-14,386799,megawatthours
2020-08-13,348170,megawatthours
2020-08-12,329934,megawatthours
2020-08-11,318378,megawatthours
2020-08-10,316014,megawatthours
2020-08-09,305076,megawatthours
2020-08-08,304183,megawatthours
2020-08-07,307167,megawatthours
2020-08-06,296965,megawatthours
2020-08-05,294958,megawatthours
2020-08-04,313783,megawatthours
2020-08-03,322053,megawatthours
2020-08-02,291697,megawatthours
2020-08-01,301501,megawatthours
2020-07-31,315851,megawatthours
2020-07-30,322637,megawatthours
2020-07-29,323016,megawatthours
2020-07-28,324194,megawatthours
2020-07-27,318953,megawatthours
2020-07-26,290922,megawatthours
2020-07-25,295227,megawatthours
2020-07-24,307149,megawatthours
2020-07-23,306787,megawatthours
2020-07-22,305055,megawatthours
2020-07-21,313427,megawatthours
2020-07-20,312355,megawatthours
2020-07-19,294389,megawatthours
2020-07-18,308545,megawatthours
2020-07-17,316813,megawatthours
2020-07-16,316728,megawatthours
2020-07-15,325374,megawatthours
2020-07-14,318913,megawatthours
2020-07-13,333524,megawatthours
2020-07-12,326761,megawatthours
2020-07-11,334080,megawatthours
2020-07-10,336454,megawatthours
2020-07-09,324572,megawatthours
2020-07-08,311629,megawatthours
2020-07-07,296117,megawatthours
2020-07-06,297901,megawatthours
2020-07-05,285208,megawatthours
2020-07-04,283895,megawatthours
2020-07-03,282980,megawatthours
2020-07-02,295778,megawatthours
2020-07-01,303403,megawatthours
2020-06-30,309520,megawatthours
2020-06-29,286420,megawatthours
2020-06-28,260547,megawatthours
2020-06-27,314759,megawatthours
2020-06-26,335124,megawatthours
2020-06-25,337590,megawatthours
2020-06-24,334504,megawatthours
2020-06-23,331850,megawatthours
2020-06-22,321517,megawatthours
2020-06-21,286259,megawatthours
2020-06-20,290089,megawatthours
2020-06-19,308281,megawatthours
2020-06-18,308015,megawatthours
2020-06-17,280466,megawatthours
2020-06-16,269936,megawatthours
2020-06-15,278163,megawatthours
2020-06-14,246645,megawatthours
2020-06-13,248357,megawatthours
2020-06-12,278144,megawatthours
2020-06-11,317677,megawatthours
2020-06-10,312683,megawatthours
2020-06-09,282601,megawatthours
2020-06-08,253863,megawatthours
2020-06-07,221166,megawatthours
2020-06-06,241827,megawatthours
2020-06-05,277206,megawatthours
2020-06-04,339455,megawatthours
2020-06-03,342078,megawatthours
2020-06-02,311645,megawatthours
2020-06-01,272865,megawatthours
2020-05-31,241674,megawatthours
2020-05-30,260817,megawatthours
2020-05-29,294277,megawatthours
2020-05-28,331064,megawatthours
2020-05-27,352470,megawatthours
2020-05-26,338324,megawatthours
2020-05-25,287021,megawatthours
2020-05-24,238545,megawatthours
2020-05-23,235020,megawatthours
2020-05-22,247498,megawatthours
2020-05-21,251169,megawatthours
2020-05-20,243825,megawatthours
2020-05-19,241715,megawatthours
2020-05-18,241682,megawatthours
2020-05-17,234888,megawatthours
2020-05-16,241394,megawatthours
2020-05-15,249748,megawatthours
2020-05-14,254580,megawatthours
2020-05-13,254966,megawatthours
2020-05-12,255772,megawatthours
2020-05-11,254701,megawatthours
2020-05-10,236391,megawatthours
2020-05-09,265246,megawatthours
2020-05-08,283128,megawatthours
2020-05-07,267612,megawatthours
2020-05-06,255258,megawatthours
2020-05-05,247463,megawatthours
2020-05-04,242879,megawatthours
2020-05-03,218218,megawatthours
2020-05-02,236975,megawatthours
2020-05-01,245453,megawatthours
2020-04-30,250226,megawatthours
2020-04-29,261048,megawatthours
2020-04-28,266658,megawatthours
2020-04-27,246965,megawatthours
2020-04-26,223315,megawatthours
2020-04-25,242113,megawatthours
2020-04-24,243272,megawatthours
2020-04-23,240577,megawatthours
2020-04-22,236602,megawatthours
2020-04-21,228112,megawatthours
2020-04-20,231683,megawatthours
2020-04-19,206711,megawatthours
2020-04-18,217364,megawatthours
2020-04-17,228836,megawatthours
2020-04-16,225366,megawatthours
2020-04-15,223131,megawatthours
2020-04-14,217824,megawatthours
2020-04-13,215040,megawatthours
2020-04-12,206262,megawatthours
2020-04-11,214096,megawatthours
2020-04-10,217882,megawatthours
2020-04-09,231250,megawatthours
2020-04-08,232037,megawatthours
2020-04-07,230366,megawatthours
2020-04-06,238600,megawatthours
2020-04-05,231696,megawatthours
2020-04-04,231120,megawatthours
2020-04-03,225852,megawatthours
2020-04-02,228596,megawatthours
